Orléans Gare;1;Orleans;45000;Gare Sncf, Rue Saint-Yves;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2674.477436174717!2d1.9025442158121313!3d47.907798775115154!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e4fae3e8790dc5%3A0x21e647ef68e7f391!2sAvis%20Location%20Voiture%20-%20Gare%20Orl%C3%A9ans!5e0!3m2!1sfr!2sfr!4v1660918968178!5m2!1sfr!2sfr
Orleans Nord;1;Orleans;45400;91 AV ANDRE DESSAUX;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2660.4543616680617!2d2.248973315819269!3d48.17859655628182!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e5a50c3b2c41f3%3A0x6780d2ffaedb361b!2sAvis%20Location%20Voiture%20-%20Pithiviers!5e0!3m2!1sfr!2sfr!4v1660230228565!5m2!1sfr!2sfr
Pithiviers;3;Pithiviers;45303;AV DU 11 NOVEMBRE ST ELOI BP 323;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2687.094862149084!2d2.627519815805771!3d47.663151992062645!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e55e720745c03f%3A0x60529fa3ce0c149d!2sAvis%20Location%20Voiture%20-%20Poilly%20Lez%20Gien!5e0!3m2!1sfr!2sfr!4v1660230269744!5m2!1sfr!2sfr
Rambouillet;5;Rambouillet;78120;3 RUE DAGUERRE ZA DU PATIS;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2635.757647602744!2d1.8471201158318309!3d48.65275132311747!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e421827b684e63%3A0x833e4f43b65f9a91!2sAvis%20Location%20Voiture%20-%20Rambouillet!5e0!3m2!1sfr!2sfr!4v1660230291288!5m2!1sfr!2sfr
Romorantin;3;Romorantin;41200;Garage Montauger ZI de la bezardiere , Villefranche sur sere;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2704.72224275486!2d1.758756515796804!3d47.319764515741234!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47fb311d6edbf165%3A0x8d3a9a3aaff1efed!2sAvis%20Location%20Voiture%20-%20Romorantin!5e0!3m2!1sfr!2sfr!4v1660230323920!5m2!1sfr!2sfr
Rungis;1;Rungis;94582;BD CIRCULAIRE FRUILEG 235;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2629.9297563881887!2d2.3550284158347847!3d48.76413771529224!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e677c651591111%3A0x8a809a3aafb2d2ac!2sAvis%20Location%20Voiture%20-%20Rungis!5e0!3m2!1sfr!2sfr!4v1660230352494!5m2!1sfr!2sfr
Sainville;4;Sainville;28700;Z.A du godeau;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10639.433447469019!2d3.2689663438039704!3d48.19008042268796!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47ef05580f83b63d%3A0x10cd64e3f87ab3a8!2sAvis%20Location%20Voiture%20-%20Sens!5e0!3m2!1sfr!2sfr!4v1660230377997!5m2!1sfr!2sfr
Sens;1;Sens;89100;186 AV SENIGALIA;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10716.259563869653!2d1.059326439550791!3d47.81895999999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e36bcc74f19f9f%3A0x95429685eeaa5d56!2sAvis%20Location%20Voiture%20-%20Vend%C3%B4me!5e0!3m2!1sfr!2sfr!4v1660230418201!5m2!1sfr!2sfr
Troyes;5;La chapelle saint luc;10600;4 RUE BONNETIERES ZI;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1075.1635499644156!2d2.0427123414082753!3d47.2314076!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47fad90b4befbaa7%3A0x2b3d13661b01fa81!2sAvis%20Location%20Voiture%20-%20Vierzon!5e0!3m2!1sfr!2sfr!4v1660230473261!5m2!1sfr!2sfr
Vendome;3;Vendome;41100;1 ALLEE DU BOIS DE L ORME;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2633.705131961766!2d2.2211512158328652!3d48.692002020361585!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e5d7d3871e7cc1%3A0x69e360e831f68a12!2sAvis%20Location%20Voiture%20-%20Villebon!5e0!3m2!1sfr!2sfr!4v1660230517070!5m2!1sfr!2sfr
Vierzon;3;Vierzon;18100;GARAGE VERDIN 58 AV JEAN JAURES;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2743.650299775382!2d3.3384189174438474!3d46.55460410000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47f11c178a2eebc3%3A0xd6ddc5e5cdcbb814!2sGARAGE%20CHAPOTOT%20-!5e0!3m2!1sfr!2sfr!4v1660230593350!5m2!1sfr!2sfr
Villebon Sur Yvette;1;Villebon Sur Yvette;91140;7 RUE DU GRAND DOME;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10524.918973354062!2d2.3073863697753905!3d48.73930800000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e676feef7304fb%3A0x4e1cb092bbd92b5b!2s2%20Rue%20du%20Vaulorin%2C%2091320%20Wissous!5e0!3m2!1sfr!2sfr!4v1660819683701!5m2!1sfr!2sfr
Wissous CVO;2;Wissous;91320;4 rue du vaulorin;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2631.231893872458!2d2.313469915834126!3d48.73926691704056!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e676feef31fbf5%3A0x8b9f2a1a48be6083!2sLes%20Grandes%20Occasions.Com!5e0!3m2!1sfr!2sfr!4v1660919005985!5m2!1sfr!2sfr
Wissous Siège;4;Wissous;91320;2 rue du vaulorin;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2631.229559235145!2d2.313952415834128!3d48.739311517037606!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47e676feef7304fb%3A0x4e1cb092bbd92b5b!2s2%20Rue%20du%20Vaulorin%2C%2091320%20Wissous!5e0!3m2!1sfr!2sfr!4v1660919042336!5m2!1sfr!2sfr
