N° Série;Agence;"Bureau / 
Utilisateur";"Prestataire
Maintenance";Marque;Modèle;IP;IP local
R4E9603603;17;;ASI;KYOCERA;ECOSYS P3150dn;172.28.198.51;192.168.28.51
R4X9Y13350;18;Multifonction;ASI;KYOCERA;ECOSYS M3645dn;172.28.200.55;192.168.30.55
LW14217196;;;ESUS;KYOCERA;ECOSYS M2535DN;172.28.192.55 ;192.168.11.55
RCH9Y10538;;Couleur;ASI;KYOCERA;ECOSYS P6235cdn;172.28.192.75 ; 192.168.22.75
LW14217188;12;;ESUS;KYOCERA;ECOSYS M2535DN;A cabler ;A cabler 
LSA6225948;22;;ESUS;KYOCERA;ECOSYS M3540DN;172.28.203.55 ;192.168.33.55
V1N4736573;22;;ESUS;KYOCERA;ECOSYS FS2100DN;172.28.203.50 ;192.168.33.50
CN54FKJ0J3;22;;;HP;Officejet Pro X451dw;172.28.203.51 ;192.168.33.51
LSN8357145;24;Atelier;ASI;KYOCERA;ECOSYS M3550idn;172.28.184.54 ;192.168.12.54
LSA8449068;24;Etage;ASI;KYOCERA;ECOSYS M3540dn;172.28.184.53 ;192.168.12.53
R4E9602017;24;Comptoir;ASI;KYOCERA;ECOSYS P3150dn;172.28.184.50;192.168.12.50
R4X9509954;24;RDC;ASI;KYOCERA;ECOSYS M3645dn;172.28.184.52;192.168.12.52
R4X9509938;24;Bureau FAX;ASI;KYOCERA;ECOSYS M3645dn;172.28.184.51;192.168.12.51
A61D021003135;31;PV;AE;KONICA MINOLTA; Bizhub 554e;172.28.190.150;192.168.20.150
LSA7Z45395;31;Car control;ASI;KYOCERA;ECOSYS M3540DN;172.28.190.58 ;192.168.20.58
LSN4802642;31;Assurance;ESUS;KYOCERA;ECOSYS M3550idn;172.28.190.55 ;192.168.20.55
V7F5Z00251;31;RUPL;ASI;KYOCERA;Taskalfa 306ci;sur la box RUPL;192.168.20.108
VLW6Y05583;31;RUPL;ESUS;KYOCERA;ECOSYS P3055DN;sur la box RUPL;192.168.20.50
LSN6822901;31;VD2L;ESUS;KYOCERA;ECOSYS M3550idn;172.28.190.51 ;192.168.20.51
R4X8500835;31;Carrosserie;ASI;KYOCERA;ECOSYS M3645dn;172.28.190.60;192.168.20.60
LSA6225943;31;Morgan Gillot;ESUS;KYOCERA;ECOSYS M3540DN;172.28.190.70;192.168.20.70
V1N4736574;25;;ESUS;KYOCERA;ECOSYS FS2100DN;172.28.186.50;192.168.16.50
R4X8500749;25;Multifonction;ASI;KYOCERA;ECOSYS M3645DN;172.28.186.52;192.168.16.52
NR73X92623;28;salle principale;ESUS;KYOCERA;ECOSYS FS1135MFP;172.28.188.50 ;192.168.18.50
LW15159469;28;comptoir;ESUS;KYOCERA;ECOSYS M2535DN;172.28.188.51 ;192.168.18.51
VLZ7106099;30;Olivier Massoutre;ASI;KYOCERA;ECOSYS P3050;172.28.171.56 ;192.168.1.56
R277Z00230;30;Côté Danielle;ASI;KYOCERA;ECOSYS P6235cdn;172.28.171.52 ;192.168.1.52
AA6T021000783;30;Couloir 1er étage;AE;KONICA MINOLTA; Bizhub 558e;172.28.171.51 ;192.168.1.51
VLZ7106097;30;Marion;ASI;KYOCERA;ECOSYS P3050;172.28.171.57 ;192.168.1.57
V1S6332002;30;estelle/Lydie;ESUS;KYOCERA;ECOSYS 4200DN;172.28.171.53 ;192.168.1.53
XEX1931431;30;Maintenance Rose;ESUS;KYOCERA;ECOSYS FS2020D;172.28.171.59;192.168.1.59
LSA7134459;30;Maintenance;ASI;KYOCERA;ECOSYS M3540DN;172.28.171.54 ;192.168.1.54
NUH2801491;30;Stéphanie;ESUS;KYOCERA;ECOSYS FS2100DN;172.28.171.64;192.168.1.64
R4E9603598;30;Murielle,Cedrick;ASI;KYOCERA;ECOSYS P3150dn;172.28.171.72;192.168.1.72
R4X9Y13727;30;Dominique,Philippe,JeanPhilippe;ASI;KYOCERA;ECOSYS M3645dn;172.28.171.69;192.168.1.69
R4E9603610;30;RDC Thierry Caliari;ASI;KYOCERA;ECOSYS P3150dn;172.28.171.71;192.168.1.71
R4X8Y07322;30;piece RH Anne;ASI;KYOCERA;ECOSYS M3645DN;172.28.171.65;192.168.1.65
PMXCHN191030741;30;Flotte;;INTERMEC;PC43D;172.28.171.68;192.168.1.68
RCH9708769;30;Flotte;ASI;KYOCERA;ECOSYS P6235cdn;172.28.171.66;192.168.1.66
AA6T021001602;30;Flotte;AE;KONICA MINOLTA; Bizhub 558e;172.28.171.60 ;192.168.1.60
LSA6225945;30;RDC (piece droite);ESUS;KYOCERA;ECOSYS M3540DN;172.28.171.62;192.168.1.62
LW15159471;30;Multifonction Elisa;ESUS;KYOCERA;ECOSYS M2535DN;172.28.171.61 ;192.168.1.61
