code_agence;libelle_agence;mois;Transaction_Owned;%_local_Owned;%_Intercity_Owned;T+K_Owned;Rev/Trans_Owned;Rve/Day_Owned;Nb_Jours_Loc_Owned;Duree_Owned;RPU_Owned;Util_Owned;Car_Days_Owned;Flotte_Moyenne_Owned;Departs_Owned;Transaction_Foreign;%_local_Foreign;%_Intercity_Foreign;T+K_Foreign;Rev/Trans_Foreign;Rve/Day_Foreign;Nb_Jours_Loc_Foreign;Duree_Foreign;RPU_Foreign;Util_Foreign;Car_Days_Foreign;Flotte_Moyenne_Foreign;Departs_Foreign;Transaction_Combined;%_local_Combined;%_Intercity_Combined;T+K_Combined;Rev/Trans_Combined;Rve/Day_Combined;Nb_Jours_Loc_Combined;Duree_Combined;RPU_Combined;Util_Combined;Car_Days_Combined;Flotte_Moyenne_Combined;Departs_Combined;CDW_Combined;TP_Combined;PAI_Combined;OW_FEE_Combined
50991;VENDOME DT VU F;07-2022;5;100;0;1 549;309,80;43,76;35;7,08;;43,2;82;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;100;0;1 549;309,80;43,76;35;7,08;589;43,1;82;3;5;0;0;0;0
50935;MONTARGIS DT VU;07-2022;38;100;0;12 907;339,66;34,22;377;9,93;;75,4;500;18;34;0;0;0;0;0;0;0;0;0;0;0;0;0;38;100;0;12 907;339,66;34,22;377;9,93;823;75,4;500;18;34;87;0;0;0
50931;GARAGE CROIS VU;07-2022;6;100;0;1 015;169,17;41,68;24;4,06;;19,6;124;4;5;0;0;0;0;0,00;0;0;0;0;0;0;0;0;6;100;0;1 015;169,17;41,68;24;4,06;295;19,6;124;4;5;0;0;0;0
50912;AUXERRE DT VU F;07-2022;21;100;0;5 135;244,52;41,06;125;5,95;;27,4;456;16;28;0;0;0;0;0,00;0;0;0;0;0;0;0;0;21;100;0;5 135;244,52;41,06;125;5,95;368;27,4;456;16;28;33;0;230;0
50919;AVALLON VU;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50987;SENS DT VU FR;07-2022;80;98,7;1,3;32 004;400,05;31,48;1 016;12,71;;70,8;1 436;51;77;0;0;0;0;0,00;0;0;0;0;0;0;0;0;80;98,7;1,3;32 004;400,05;31,48;1 016;12,71;720;70,8;1 436;51;77;513;0;0;152
50989;TROYES DT VU FR;07-2022;62;100;0;23 757;383,18;29,29;811;13,08;;50,3;1 612;58;59;0;0;0;0;0;0;0;0;0;0;0;0;0;62;100;0;23 757;383,18;29,29;811;13,08;470;50,3;1 612;58;59;261;34;200;0
50981;ROMILLY SUR SEINE VU;07-2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50288;NEVERS DT VU FR;07-2022;29;100;0;8 035;277,07;25,69;312;10,79;;43,9;712;25;31;0;0;0;0;0;0;0;0;0;0;0;0;0;29;100;0;8 035;277,07;25,69;312;10,79;370;43,9;712;25;31;67;0;0;0
54767;MOULINS DT VU F;07-2022;2;100;0;1 233;616,5;27,3;45;22,58;;26,7;169;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;100;0;1 233;616,5;27,3;45;22,58;238;26,7;169;6;2;26;26;0;0
50889;CLERM FE DT VU;07-2022;214;100;0;84 101;393;23,82;3 530;16,5;;67,6;5 220;186;171;0;0;0;0;0;0;0;0;0;0;7;0;0;214;100;0;84 101;393;23,82;3 530;16,5;516;67,5;5 227;187;171;281;60;633;0
50890;MONTLUCON DT VU;07-2022;46;100;0;9 488;206,26;33,15;286;6,22;;54,7;523;19;47;0;0;0;0;0;0;0;0;0;0;0;0;0;46;100;0;9 488;206,26;33,15;286;6,22;573;54,7;523;19;47;17;0;0;0
50289;BOURGES DT VU F;07-2022;27;100;0;8 000;296,3;37,17;215;7,97;;28,6;753;27;25;0;0;0;0;0,00;0;0;0;0;0;0;0;0;27;100;0;8 000;296,3;37,17;215;7,97;340;28,5;753;27;25;213;53;0;0
50329;VIERZON DT VU F;07-2022;13;100;0;2 639;203,00;46,64;56;4,35;;35,1;161;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;13;100;0;2 639;203,00;46,64;56;4,35;506;35,1;161;6;13;0;0;15;0
50352;CHATEAUROUX VU;07-2022;5;100;0;914;182,8;28,31;32;6,46;;34,7;93;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;100;0;914;182,8;28,31;32;6,46;351;34,7;93;3;4;33;0;30;0
50354;ISSOUDUN DT VU;07-2022;13;100;0;4 646;357,38;29,35;158;12,18;;61,6;257;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;13;100;0;4 646;357,38;29,35;158;12,18;592;61,5;257;9;13;58;58;320;0
01429;RUNGIS MIL EXVU;07-2022;0;0;0;0;0;0;0;0;;0;1 935;69;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1 940;69;0;0;0;0;0
13346;CVO RUNGIS;07-2022;0;0;0;0;0;0;0;0;;0;5 011;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 011;179;0;0;0;0;0
10088;CVO WISSOUS FR;07-2022;0;0;0;0;0;0;0;0;;0;3 945;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 945;141;0;0;0;0;0
10087;CVO ORLEANS FR;07-2022;0;0;0;0;0;0;0;0;;0;2 307;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 307;82;0;0;0;0;0
10089;CVO CHARTRES FR;07-2022;0;0;0;0;0;0;0;0;;0;11 346;405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11 346;405;0;0;0;0;0
10853;CVO TROYES FR;07-2022;0;0;0;0;0;0;0;0;;0;1 211;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 211;43;0;0;0;0;0
10090;CVORAMBOUILLET;07-2022;0;0;0;0;0;0;0;0;;0;856;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;856;31;0;0;0;0;0
10737;CVO DREUX FR;07-2022;0;0;0;0;0;0;0;0;;0;1 764;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 764;63;0;0;0;0;0
13410;CVO CLERMONT-F;07-2022;0;0;0;0;0;0;0;0;;0;363;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;363;13;0;0;0;0;0
